exhibition_id,name,poster_link,start_period,end_period
20160101000102,나의 하루 이야기- 헝가리에서 온 편지,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41323&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,2022-06-17,2022-09-12
20160101000103,매직샷展,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41157&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,2022-06-17,2022-09-25
20160101000104,신지현&이영주 2인전 - 뷰티인그레이스,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802a14041c7381980e81ed1f7e888367bdf&streFileNm=1933a34cdec1575d5044a382807f355852e2f1440befb29c34155b70a7ef77fe,2022-06-17,2022-06-17
20160101000105,2022대한민국미술대전 서예문인화 초대작가전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/08/2296f8c44a653ee16ec4d63bc9dc3797.jpg,2022-06-16,2022-06-25
20160101000106,시대와 공간을 잇다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655352297959.jpg,2022-06-16,2022-07-03
20160101000107,《장-미셸 오토니엘-정원과 정원》,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41009&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,2022-06-16,2022-08-07
20160101000108,ART TOKEN in 2022 코리아 아트페어,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655166760659.jpg,2022-06-15,2022-06-18
20160101000109,kdk 개인전 《g》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655860606656.jpg,2022-06-15,2022-07-20
20160101000110,따로 또 같이,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1654564699611.jpg,2022-06-15,2022-06-19
20160101000111,"있다, 잊다, 잇다",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655352187179.jpg,2022-06-15,2022-06-20
20160101000112,"《점, 곁에서 말하는 점들 Dots, speaking nearby dots》",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655166555782.png,2022-06-13,2022-06-30
20160101000113,20주년 기념 독립운동가를 위한 현충재,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1656029093865.jpg,2022-06-11,2022-06-30
20160101000114,"감각의 공간, 워치 앤 칠 2.0",https://www.mmca.go.kr/upload/exhibition/2022/06/2022060711031498811230.png,2022-06-10,2022-09-12
20160101000115,앙리 카르티에 브레송 특별전: 결정적 순간,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/02/7ee49b5f426a4156e6eac047611783b3.jpg,2022-06-10,2022-10-02
20160101000116,패션전시,https://www.mmca.go.kr/upload/exhibition/2022/06/2022061505173080415688.png,2022-06-10,2022-06-26
20160101000117,백채인 개인전 - 뷰티인그레이스,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802a14041c7381980e81ed1f7e888367bdf&streFileNm=d94afc57a69be8c7cb8b1a61fd25af34ad9dfc36288f971a5bacb5e178aa54a2,2022-06-09,2022-06-09
20160101000118,조각충동,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220525163836_235c2e604a784970b10a9476e77844be_83fe627d4ff5495bb6e02a5b49323dda,2022-06-09,2022-06-09
20160101000119,제25회 인천예술고 학생미술작품전 - 경계를 넘어서,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653956039052.jpg,2022-06-08,2022-06-16
20160101000120,섬유미술작가 고승현 초대전 《스산》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653875457270.jpg,2022-06-05,2022-06-18
20160101000121,제28회대한민국서도대전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/05/c69b72b785d2196f4e881748c82bfd1e.jpg,2022-06-04,2022-06-12
20160101000123,한국의 채색화 특별전 «생의 찬미»,https://www.mmca.go.kr/upload/exhibition/2022/05/2022051102420136119685.png,2022-06-01,2022-09-25
20160101000124,"한복, 보자기를 품다",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1654564105572.jpg,2022-06-01,2022-06-06
20160101000125,골목 -남겨진 기억,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653875380051.jpg,2022-05-31,2022-08-14
20160101000126,we:view,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652835295795.jpg,2022-05-30,2022-06-01
20160101000127,기록과 픽션 : ‘히토 슈타이얼-데이터의 바다’ 전시 연계 특별상영,https://www.mmca.go.kr/upload/exhibition/2022/04/2022042902493599715156.png,2022-05-27,2022-07-17
20160101000129,그리드 아일랜드,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220712134645_de72eeae357041d6a291b10a58ac3c57_7a1055f0d8e14a4b9973c5f9abedb901,2022-05-26,2022-05-26
20160101000130,서울시립미술관 《그리드 아일랜드 Grid Island》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653531253940.jpg,2022-05-26,2022-08-15
20160101000132,Veil,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653874395285.jpg,2022-05-25,2022-05-30
20160101000133,당의唐衣 복식전_품격을 더하다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653875180226.jpg,2022-05-25,2022-05-30
20160101000134,운중낙원 -Paradise in Clouds,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653955480264.jpg,2022-05-25,2022-06-21
20160101000135,조원정 개인전 - 뷰티인그레이스,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802b019c0d49faba99f98cab05eaa325ea3&streFileNm=f0357bdc69e2b47a99c6cae26a9e5dff39140131461b1ec4fbc79f9f1d2d9b11,2022-05-25,2022-05-25
20160101000136,명품도시 한양 보물100선,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40815&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,2022-05-20,2022-08-07
20160101000137,의자로 읽는 디자인,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653005662874.png,2022-05-20,2022-06-03
20160101000138,"강희산, 학해무변(學海無邊)",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652402143406.jpg,2022-05-18,2022-05-26
20160101000139,"민담회, 하하 호호展",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652402185438.jpg,2022-05-18,2022-05-26
20160101000140,여름: 락 - 와유산수 동양화 展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1654648593276.jpg,2022-05-16,2022-07-01
20160101000141,죽음에 관한 세 가지 고백,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652235786022.jpg,2022-05-16,2022-05-22
20160101000142,부산문화재단 F1963 기획전시 <FANtasy come true>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1653531023476.jpg,2022-05-13,2022-06-12
20160101000143,01 : 뼘 소묘전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651466438434.jpg,2022-05-12,2022-05-14
20160101000144,멜로디 오브 러브,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652235567958.jpg,2022-05-10,2022-05-29
