title,link,author,pubDate,description,isbn,priceSales,priceStandard,mallType,cover,categoryId,categoryName,publisher,customerReviewRank,bestRank
아가씨 가까이 - The Handmaiden Photo Book,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=85157512&partner=openAPI&start=api,박찬욱 (지은이),2016-06-10,영화감독 박찬욱의 첫 번째 단독 사진집. 영화 [아가씨]를 연출하는 동안 직접 찍은 사진을 모았다. 사진에 대해 영화 못지않은 애정을 갖고 헌신해온 박찬욱이 [아가씨] 가까이에서 정찰하고 매복하여 기다려 찍은 인물과 풍경을 담은 것이다.,8994040862,19800,22000,BOOK,https://image.aladin.co.kr/product/8515/75/coversum/8994040862_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,그책,7,23
골목안 풍경 전집 - 김기찬 사진집,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=13012756&partner=openAPI&start=api,김기찬 (지은이),2011-08-27,"2005년 향년 68세로 별세한 사진가 김기찬 선생이 남긴 6권의 ‘골목안 풍경’ 사진집과 미공개 유작 34점을 한데 모아 재편집하여 ‘골목안 사진’에 새로운 맥락을 부여하고 집대성한 사진집이다. 모두 500여 점의 사진이 수록되어 있는데, 그 중 유작 15점과 제2집에 수록되어 있는 작품 58점은 컬러 사진이고, 나머지는 모두 흑백사진이다.",8974092778,31350,33000,BOOK,https://image.aladin.co.kr/product/1301/27/coversum/8974092778_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,눈빛,10,24
다카페 일기 - 행복이란 분명 이런 것,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=3055981&partner=openAPI&start=api,"모리 유지 (지은이), 권남희 (옮긴이)",2008-12-22,"'일본 블로그 대상 2006' 사진대상을 수상한 모리 유지의 사진 블로그 '다카페 일기'를 책으로 엮었다. 하루 3만 명 이상 방문하는 인기 블로그인 '다카페 일기'는 아내 다짱, 씩씩한 딸 바다와 사고뭉치 아들 하늘, 그리고 늘 곁에 있는 개 와쿠친과 함께하는 다정한 순간들을 따뜻한 시선으로 포착한 아빠의 사진 일기이다.",8996113255,13500,15000,BOOK,https://image.aladin.co.kr/product/305/59/coversum/8996113255_1.jpg,51376,국내도서>에세이>사진/그림 에세이,북스코프(아카넷),9,25
Real 액션 포즈집 1 : 여고생 액션 편,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=90590174&partner=openAPI&start=api,"인벤션 (옮긴이), 오노데라 히로노부 (사진), 카라사와 이사오 (감수)",2016-08-26,"순간촬영을 통해 액션 장면의 동작 하나하나를 독자에게 보여주며 세라복, 수영복, 블레이저 등 복장에 따라, 격투 기술에 따라 챕터를 나누어 독자가 다양한 연출에 참고할 수 있게 했다.",8971905689,18000,20000,BOOK,https://image.aladin.co.kr/product/9059/1/coversum/8971905689_1.jpg,2564,국내도서>만화>만화그리기와 읽기>만화작법/일러스트,인벤션,8,26
너의 표정,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281214420&partner=openAPI&start=api,박찬욱 (지은이),2021-10-01,"박찬욱 감독 최초의 본격 사진집. 박찬욱 감독의 영화, 특히 '올드보이' 이후의 작품을 접한 관객은 그의 세계가 꼼꼼하고 화려한 미장센으로 이루어져 있으리라고 생각하게 마련이다. 그러나 그가 오랫동안 찍어 온 사진들은 영화와는 다른 시선을 보여 준다.",8932474559,63000,70000,BOOK,https://image.aladin.co.kr/product/28121/44/coversum/8932474559_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,을유문화사,10,27
"김영갑 1957-2005 - Kim Young Gap, Photography, and Jejudo",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=656844&partner=openAPI&start=api,김영갑 (지은이),2006-05-15,"사진작가 김영갑의 1주기를 맞이하여 출간된 사진집. 1985년 제주도에 정착, 2005년 생을 마칠 때까지 반평생을 제주의 아름다움을 사진으로 기록한 지은이의 작품세계를 만나볼 수 있다. 본문의 중간 중간에 에세이가 함께 실렸다.",8989348838,52250,55000,BOOK,https://image.aladin.co.kr/product/65/68/coversum/8989348838_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,다빈치,10,28
한영수 : 꿈결 같은 시절,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=58773641&partner=openAPI&start=api,한영수 (지은이),2015-04-30,,8996898961,36000,40000,BOOK,https://image.aladin.co.kr/product/5877/36/coversum/8996898961_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,한스그라픽,10,29
내면의 침묵 - 앙리 카르티에-브레송이 찍은 시대의 초상,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=688356&partner=openAPI&start=api,"앙리 카르티에 브레송 (지은이), 김화영 (옮긴이)",2006-09-01,"2004년 타계, 20세기의 가장 영향력있는 사진가 카르티에 브레송의 초상사진집으로 이번에 함께 출간되는 사진 에세이집 과 더불어 파편적으로만 알려져 왔던 카르티에 브레송의 사진세계를 재조감하게 한다. 그의 사진은 한 시대의 관찰자로서 그가 포착해낸 사유의 이미지이자 내면의 독백이다.",8930101860,40850,43000,BOOK,https://image.aladin.co.kr/product/68/83/coversum/8930101860_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,열화당,10,30
"퓰리처상 사진 - 사진으로 기록한 현대사의 맨 얼굴, 퓰리처상 사진 부문 70년간의 연대기, 2014 개정증보판",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=41903572&partner=openAPI&start=api,"핼 부엘 (지은이), 박우정 (옮긴이)",2014-06-05,"사진 부문에서 얻을 수 있는 최고의 영광인 퓰리처상을 받은 지난 7여 년의 수상작들을 한 권에 모은 책이다. 퓰리처상 사진 부문 수상작들의 특징은 각 사진들이 한 편의 작품이자 역사의 순간, 특종의 순간을 담고 있다는 점이다.",8932316023,49500,55000,BOOK,https://image.aladin.co.kr/product/4190/35/coversum/6000738070_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,현암사,10,31
스위스의 고양이 사다리,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260674523&partner=openAPI&start=api,"브리기테 슈스터 (지은이), 김목인 (옮긴이)",2021-01-15,"애묘인 인구가 다수에 속하는 스위스에서 쉽게 마주칠 수 있는 ‘고양이 사다리’의 다양한 모습과 쓰임을 기록한 사진집. 옥외형 고양이 사다리는 반려동물이 건물 안팎을 자유로이 오갈 수 있도록 설치한 독특한 구조물로, 스위스의 도시나 마을에서 자주 발견된다.",8986022281,16200,18000,BOOK,https://image.aladin.co.kr/product/26067/45/coversum/8986022281_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,책읽는수요일,8,32
