name,poster_link,start_period,end_period
2021 KCDF 공예인력 해외교류 프로그램 성과보고전시,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1636596684639.jpg,20211110,20211115
FLOW IN NATURE: 김경진 장신구전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1534123686539.jpg,20180809,20180812
Embracing Light 빛을 담다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1625793369756.jpg,20210707,20210712
2021 딜라이트서울,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=36881&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20201218,20211025
남영화 조각전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1482109284655.jpg,20161214,20161219
청오의 木茶具: 지리산 목수이야기,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650588226920.jpg,20220420,20220425
Art of upcycling,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1527208079934.jpg,20180523,20180529
Imaginary Stroke: 송은선 금속조형전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1629937846446.jpg,20210825,20210830
강일호 출조展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1571191671280.jpg,20191010,20191015
"묘한전 (고양이 묘, 우아할 한, 펼 전)",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1462770290562.jpg,20160504,20160510
옵티컬 루미너스(Optical Luminous),https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658363206475.jpg,20220720,20220725
제24회 한국현대도예가회전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1657154739833.jpg,20220706,20220712
아름다운 규방공예,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659319429196.jpg,20220727,20220801
양 영 개인展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1482454973455.jpg,20161221,20161226
류남희 도예전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651191349399.jpg,20220427,20220502
(2018 아름다운 굴레)칠영원 칠기전=Ottchil Artist Exhibition,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1538975001516.jpg,20181003,20181015
Connention,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1628124433157.jpg,20210804,20210809
[독립큐레이터기획전]Meanwhile,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1531459513365.jpg,20180711,20180805
김선영 개인展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1479792798610.jpg,20161123,20161128
한기석 백자항아리 전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1502929404725.jpg,20170816,20170822
특별+공예,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1468369251929.jpg,20160713,20160719
Glass House,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1529294962264.jpg,20180612,20180701
"있다, 잊다, 잇다",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655352187179.jpg,20220615,20220620
리이슈 코리아 아트페어: 서울,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1492564248429.jpg,20170419,20170425
아름다운 규방공예: 제15회 쌈지사랑 규방공예 연구소 정기회원전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1629937776550.jpg,20210825,20210830
제2회 소예느루회전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1511313020080.jpg,20171122,20171128
약속큐브_ 약속친구들,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1525824800975.jpg,20180509,20180515
"전통, 현대의 길",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1576126304659.jpg,20191211,20191216
38회 중앙공예가회전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1566176157399.jpg,20190814,20190820
속 찬 나무와 빈 그릇 두번째:  목다구에 도자기를 얹다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1525399364020.jpg,20180502,20180508
윤주철 : 백색첨장 (White Cheomjang),https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1543541030755.jpg,20181128,20181204
크래프트 리턴,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1525399302461.jpg,20180501,20180520
色(색) 그리고 이야기,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1470010400997.jpg,20160727,20160802
종이와 접착제,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1543541131281.jpg,20181128,20181204
KCDF 중견작가 지원전시_ 김시영 작가 <김시영 검정> 展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1544503549729.jpg,20181205,20181211
Chessman 도시in,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1590019408847.jpg,20200520,20200525
"공명 : 공예비엔날레 20년, 공예를 읽다",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1567129146161.jpg,20190904,20190927
제15회 전국장애인도예공모전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1596416205320.jpg,20200728,20200804
천상지연 : 고검가 장도원 개인전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1550708200159.jpg,20190220,20190226
Natural Phenomena,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1588812421234.jpg,20200506,20200512
CheckMate!,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1484273294430.gif,20170111,20170117
"중정(中庭), 자연과 마주하기",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1631839397827.jpg,20210917,20211010
양구백자의 재해석 - 백색변주,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661387233091.jpg,20220824,20220829
2019 색색인화展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1571620015213.jpg,20191016,20191022
Mannequin shoes,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1515117163268.jpg,20180103,20180109
The Window,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1631235488111.jpg,20210908,20210913
102 (the KMS + DKUCD) 건국대학교 동문전 + 단국대학교 동문전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1636336918163.jpg,20211103,20211108
Peace inner peace : 2018 제41회 숙명금속공예가회 정기전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1541982291136.jpg,20181107,20181113
김석영 금속공예전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1475714360287.jpg,20161005,20161011
류명숙 섬유조형전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1530147301342.jpg,20180627,20180703
한국의 美,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1641514592998.jpg,20220105,20220110
"한복, 보자기를 품다",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1654564105572.jpg,20220601,20220606
시각과 물성사이,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1637197978978.jpg,20211117,20211122
손수手:국민대 금속공예학과 졸업전시,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1540514909197.jpg,20181024,20181030
土岩家 三代 光岩 김명한 석사학위청구전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1544504464434.jpg,20181205,20181211
문양시접: 조각보자기에 꽃을 담다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1562826256772.jpg,20190710,20190715
"2019 공예매개인력양성 결과발표회 ""24 hours review""",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1576126388806.jpg,20191213,20191215
